arm,inst,density,t,J_SA,J_EOH,delta_J,ratio,class
norag,RC101,d25,0.6,557.4761,1358.6617,801.1856,2.4372,worse
norag,RC101,d25,0.7,607.9598,1358.6617,750.7018,2.2348,worse
norag,RC101,d25,0.8,656.4428,572.4663,-83.9765,0.8721,improved
norag,RC101,d25,0.9,645.4452,645.4452,-0.0,1.0,tie
norag,RC101,d25,1.0,664.1195,657.7344,-6.3852,0.9904,improved
norag,RC101,d50,0.6,647.7864,1287.0193,639.2329,1.9868,worse
norag,RC101,d50,0.7,697.2401,644.4504,-52.7897,0.9243,improved
norag,RC101,d50,0.8,697.2401,516.1876,-181.0525,0.7403,improved
norag,RC101,d50,0.9,697.2401,1287.0193,589.7792,1.8459,worse
norag,RC101,d50,1.0,713.5216,660.7319,-52.7897,0.926,improved
norag,RC101,d75,0.6,435.4846,225.0895,-210.3951,0.5169,improved
norag,RC101,d75,0.7,435.4846,764.8463,329.3617,1.7563,worse
norag,RC101,d75,0.8,435.4846,711.3683,275.8837,1.6335,worse
norag,RC101,d75,0.9,435.4846,338.6951,-96.7895,0.7777,improved
norag,RC101,d75,1.0,549.4846,376.6951,-172.7895,0.6855,improved
norag,RC102,d25,0.6,425.0776,1000.1379,575.0603,2.3528,worse
norag,RC102,d25,0.7,425.0776,1000.1379,575.0603,2.3528,worse
norag,RC102,d25,0.8,390.1164,383.7733,-6.3431,0.9837,improved
norag,RC102,d25,0.9,637.687,628.344,-9.3431,0.9853,improved
norag,RC102,d25,1.0,642.687,475.552,-167.135,0.7399,improved
norag,RC102,d50,0.6,377.9014,756.3313,378.4299,2.0014,worse
norag,RC102,d50,0.7,384.9014,,,,no_valid
norag,RC102,d50,0.8,384.9014,799.4101,414.5088,2.0769,worse
norag,RC102,d50,0.9,540.6982,799.4101,258.7119,1.4785,worse
norag,RC102,d50,1.0,551.8108,422.9533,-128.8575,0.7665,improved
norag,RC102,d75,0.6,302.0423,302.0423,0.0,1.0,tie
norag,RC102,d75,0.7,370.1244,530.8457,160.7214,1.4342,worse
