inst,density,t,rep,J,Res,composite,return_code,timeout,ok
RC101,d25,1.0,0,664.1195472849001,4.685311,665.0566094849002,0,False,True
RC101,d25,1.0,1,664.1195472849001,4.458307,665.0112086849001,0,False,True
RC101,d25,1.0,2,664.1195472849001,4.575405,665.0346282849001,0,False,True
RC102,d25,1.0,0,642.687047320695,2.331272,643.153301720695,0,False,True
RC102,d25,1.0,1,642.687047320695,2.773509,643.241749120695,0,False,True
RC102,d25,1.0,2,642.687047320695,2.640557,643.215158720695,0,False,True
RC103,d25,1.0,0,,,,,True,False
RC104,d25,1.0,0,495.7876266617914,2.630629,496.3137524617914,0,False,True
RC104,d25,1.0,1,495.7876266617914,2.665918,496.3208102617914,0,False,True
RC104,d25,1.0,2,495.7876266617914,2.61435,496.31049666179143,0,False,True
RC105,d25,1.0,0,459.84123418501133,3.290581,460.4993503850113,0,False,True
RC105,d25,1.0,1,459.84123418501133,3.415189,460.52427198501135,0,False,True
RC105,d25,1.0,2,459.84123418501133,3.305027,460.50223958501135,0,False,True
RC101,d25,0.9,0,645.4452201294318,5.217206,646.4886613294318,0,False,True
RC101,d25,0.9,1,645.4452201294318,5.117942,646.4688085294318,0,False,True
RC101,d25,0.9,2,645.4452201294318,4.863221,646.4178643294318,0,False,True
RC102,d25,0.9,0,637.687047320695,2.081265,638.103300320695,0,False,True
RC102,d25,0.9,1,637.687047320695,1.940336,638.075114520695,0,False,True
RC102,d25,0.9,2,637.687047320695,2.359187,638.158884720695,0,False,True
RC103,d25,0.9,0,,,,,True,False
RC104,d25,0.9,0,495.7876266617914,4.259029,496.63943246179144,0,False,True
RC104,d25,0.9,1,495.7876266617914,3.215972,496.43082106179145,0,False,True
RC104,d25,0.9,2,495.7876266617914,2.794286,496.3464838617914,0,False,True
RC105,d25,0.9,0,389.73469477353973,3.432584,390.4212115735397,0,False,True
RC105,d25,0.9,1,389.73469477353973,4.195136,390.5737219735397,0,False,True
RC105,d25,0.9,2,389.73469477353973,3.854059,390.5055065735397,0,False,True
RC101,d25,0.8,0,656.4428083560485,5.551131,657.5530345560486,0,False,True
RC101,d25,0.8,1,656.4428083560485,5.091673,657.4611429560485,0,False,True
RC101,d25,0.8,2,656.4428083560485,5.197917,657.4823917560485,0,False,True
RC102,d25,0.8,0,390.1164109942737,2.819444,390.68029979427365,0,False,True
RC102,d25,0.8,1,390.1164109942737,2.642228,390.6448565942737,0,False,True
RC102,d25,0.8,2,390.1164109942737,2.641592,390.64472939427367,0,False,True
RC103,d25,0.8,0,,,,,True,False
RC104,d25,0.8,0,495.7876266617914,2.203791,496.2283848617914,0,False,True
RC104,d25,0.8,1,495.7876266617914,2.153907,496.2184080617914,0,False,True
RC104,d25,0.8,2,495.7876266617914,2.356063,496.2588392617914,0,False,True
RC105,d25,0.8,0,377.5384420248641,4.340373,378.4065166248641,0,False,True
RC105,d25,0.8,1,377.5384420248641,5.188408,378.57612362486407,0,False,True
RC105,d25,0.8,2,377.5384420248641,5.660898,378.67062162486405,0,False,True
RC101,d25,0.7,0,607.9598271286009,6.740928,609.3080127286008,0,False,True
RC101,d25,0.7,1,607.9598271286009,5.320291,609.0238853286008,0,False,True
RC101,d25,0.7,2,607.9598271286009,6.064533,609.1727337286009,0,False,True
RC102,d25,0.7,0,425.07761520817064,2.820425,425.6417002081706,0,False,True
RC102,d25,0.7,1,425.07761520817064,2.517593,425.58113380817065,0,False,True
RC102,d25,0.7,2,425.07761520817064,2.779853,425.63358580817066,0,False,True
