inst,density,t,n_ok,n_rep,timed_out,J_median,J_mean,J_std,J_min,J_max,Res_median,Res_mean,Res_std,composite_median,composite_mean
RC101,d25,1.0,3,3,False,664.1195472849001,664.1195472849001,0.0,664.1195472849001,664.1195472849001,4.575405,4.573007666666666,0.09268949746090738,665.0346282849001,665.0341488182335
RC102,d25,1.0,3,3,False,642.687047320695,642.687047320695,0.0,642.687047320695,642.687047320695,2.640557,2.581779333333333,0.1852646784402131,643.215158720695,643.2034031873617
RC103,d25,1.0,0,3,True,,,,,,,,,,
RC104,d25,1.0,3,3,False,495.7876266617914,495.7876266617914,0.0,495.7876266617914,495.7876266617914,2.630629,2.6369656666666668,0.02152408982718875,496.3137524617914,496.3150197951247
RC105,d25,1.0,3,3,False,459.84123418501133,459.8412341850114,0.0,459.84123418501133,459.84123418501133,3.305027,3.3369323333333334,0.055649205668684504,460.50223958501135,460.50862065167803
RC101,d25,0.9,3,3,False,645.4452201294318,645.4452201294318,0.0,645.4452201294318,645.4452201294318,5.117942,5.066123,0.1490866674723128,646.4688085294318,646.4584447294318
RC102,d25,0.9,3,3,False,637.687047320695,637.687047320695,0.0,637.687047320695,637.687047320695,2.081265,2.1269293333333334,0.17401717071280312,638.103300320695,638.1124331873617
RC103,d25,0.9,0,3,True,,,,,,,,,,
RC104,d25,0.9,3,3,False,495.7876266617914,495.7876266617914,0.0,495.7876266617914,495.7876266617914,3.215972,3.4230956666666668,0.6156531350158861,496.43082106179145,496.47224579512476
RC105,d25,0.9,3,3,False,389.73469477353973,389.73469477353973,0.0,389.73469477353973,389.73469477353973,3.854059,3.8272596666666665,0.31188677579781343,390.5055065735397,390.50014670687307
RC101,d25,0.8,3,3,False,656.4428083560485,656.4428083560485,0.0,656.4428083560485,656.4428083560485,5.197917,5.280240333333333,0.1963980004129934,657.4823917560485,657.4988564227152
RC102,d25,0.8,3,3,False,390.1164109942737,390.1164109942736,0.0,390.1164109942737,390.1164109942737,2.642228,2.701088,0.08369073296369192,390.6448565942737,390.6566285942736
RC103,d25,0.8,0,3,True,,,,,,,,,,
RC104,d25,0.8,3,3,False,495.7876266617914,495.7876266617914,0.0,495.7876266617914,495.7876266617914,2.203791,2.2379203333333333,0.08598593152112474,496.2283848617914,496.23521072845807
RC105,d25,0.8,3,3,False,377.5384420248641,377.5384420248641,0.0,377.5384420248641,377.5384420248641,5.188408,5.063226333333334,0.546320666616432,378.57612362486407,378.5510872915308
RC101,d25,0.7,3,3,False,607.9598271286009,607.9598271286009,0.0,607.9598271286009,607.9598271286009,6.064533,6.041917333333333,0.5801930556440292,609.1727337286009,609.1682105952675
RC102,d25,0.7,3,3,False,425.07761520817064,425.0776152081706,0.0,425.07761520817064,425.07761520817064,2.779853,2.705957,0.1342193954389603,425.63358580817066,425.61880660817064
RC103,d25,0.7,0,3,True,,,,,,,,,,
RC104,d25,0.7,3,3,False,495.7876266617914,495.7876266617914,0.0,495.7876266617914,495.7876266617914,1.789246,1.8088776666666666,0.03503760981510517,496.1454758617914,496.14940219512476
