problem,seed,local_run_key,mixed_run_key,local_score,mixed_score,relative_gain,complete
bp_online,3101,cross_problem_transfer/bp_online/local_only/3101,cross_problem_transfer/bp_online/mixed_abstract/3101,0.768,0.867,-0.12890624999999997,True
bp_online,3102,cross_problem_transfer/bp_online/local_only/3102,cross_problem_transfer/bp_online/mixed_abstract/3102,0.867,0.867,0.0,True
bp_online,3103,cross_problem_transfer/bp_online/local_only/3103,cross_problem_transfer/bp_online/mixed_abstract/3103,0.867,0.867,0.0,True
bp_online,3104,cross_problem_transfer/bp_online/local_only/3104,cross_problem_transfer/bp_online/mixed_abstract/3104,0.867,0.867,0.0,True
bp_online,3105,cross_problem_transfer/bp_online/local_only/3105,cross_problem_transfer/bp_online/mixed_abstract/3105,0.867,0.867,0.0,True
tsp_construct,3101,cross_problem_transfer/tsp_construct/local_only/3101,cross_problem_transfer/tsp_construct/mixed_abstract/3101,,,,False
tsp_construct,3102,cross_problem_transfer/tsp_construct/local_only/3102,cross_problem_transfer/tsp_construct/mixed_abstract/3102,,,,False
tsp_construct,3103,cross_problem_transfer/tsp_construct/local_only/3103,cross_problem_transfer/tsp_construct/mixed_abstract/3103,,,,False
tsp_construct,3104,cross_problem_transfer/tsp_construct/local_only/3104,cross_problem_transfer/tsp_construct/mixed_abstract/3104,,,,False
tsp_construct,3105,cross_problem_transfer/tsp_construct/local_only/3105,cross_problem_transfer/tsp_construct/mixed_abstract/3105,,,,False
cvrp_construct,3101,cross_problem_transfer/cvrp_construct/local_only/3101,cross_problem_transfer/cvrp_construct/mixed_abstract/3101,18.557541723695387,25.927485379976353,-0.39714008277672785,True
cvrp_construct,3102,cross_problem_transfer/cvrp_construct/local_only/3102,cross_problem_transfer/cvrp_construct/mixed_abstract/3102,21.62323739336822,16.55386439732349,0.23444098142304498,True
cvrp_construct,3103,cross_problem_transfer/cvrp_construct/local_only/3103,cross_problem_transfer/cvrp_construct/mixed_abstract/3103,20.63305268634592,18.557541723695387,0.10059156026020416,True
cvrp_construct,3104,cross_problem_transfer/cvrp_construct/local_only/3104,cross_problem_transfer/cvrp_construct/mixed_abstract/3104,16.091794264436615,18.352928626312952,-0.14051474464059716,True
cvrp_construct,3105,cross_problem_transfer/cvrp_construct/local_only/3105,cross_problem_transfer/cvrp_construct/mixed_abstract/3105,18.999268248376783,,,False
