problem,arm,seed,status,objective,held_out,held_out_feasible_rate,runtime_s,sample_count,valid
tsp_construct,fresh_start,8101,ok,6886.75398,25.990180032733225,1.0,232.2,36,True
tsp_construct,inherited_top6,8101,ok,6114.47605,7.825131119048807,0.8571428571428571,449.2,24,True
cvrp_construct,fresh_start,8101,ok,887.72705,21.364892881824467,1.0,276.0,36,True
cvrp_construct,inherited_top6,8101,ok,887.26897,14.30824113328508,1.0,269.1,24,True
tsp_construct,fresh_start,8102,ok,6505.45221,16.22028004886759,1.0,243.9,36,True
tsp_construct,inherited_top6,8102,ok,6133.82975,11.554866227219852,1.0,430.8,24,True
cvrp_construct,fresh_start,8102,ok,869.00906,20.715272978576365,1.0,234.7,36,True
cvrp_construct,inherited_top6,8102,ok,885.10849,11.375259156876295,1.0,266.2,24,True
tsp_construct,fresh_start,8103,ok,6570.19029,17.799079033925384,1.0,247.3,36,True
tsp_construct,inherited_top6,8103,ok,6187.26476,12.385086823289072,1.0,304.5,24,True
cvrp_construct,fresh_start,8103,ok,871.05346,25.26261230131306,1.0,288.1,36,True
cvrp_construct,inherited_top6,8103,ok,880.72304,26.665514858327576,1.0,281.3,24,True
